nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;2812747;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;70712;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;2605;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;856;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;15008;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;107141;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;16417;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;29850;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;1400;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;17596;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;164;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;1;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;2813;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;48808;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;88;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;18050;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;29;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;725;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;686;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;524;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;610;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;46226;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;23884;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;1103;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2012;Tahun;405296;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;1008890;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;45508;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;48887;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;265498;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;240833;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;17326;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;728786;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;8672;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;22918;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;20181;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;5607;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;19999;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;196845;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;1080;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;61801;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;121;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;324;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;633;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;1800;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;5537;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;102957;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;75071;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;7741;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2013;Tahun;2887015;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;158651;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;1962;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;14823;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;27541;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;99169;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;22824;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;53130;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;1430;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;8666;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;3987;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;909;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;1999;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;69017;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;310;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;17934;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;218;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;291;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;1178;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;1449;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;839;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;30874;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;13723;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;427;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2013;Tahun;531351;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;1125425;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;43293;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;43152;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;291151;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;304418;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;30789;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;784753;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;7904;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;22719;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;22065;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;6206;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2014;Tahun;14300;"22 Karet, Barang dari Karet dan Plastik "
